Fact_ID,Date,Security_ID,Measure,Value
756,2018-01-02,20,Open,235.78
756,2018-01-02,20,High,237.07001
756,2018-01-02,20,Low,232.81
756,2018-01-02,20,Close,235.64
756,2018-01-02,20,AdjClose,210.79529
756,2018-01-02,20,Volume,2931000
757,2018-01-03,20,Open,235.07001
757,2018-01-03,20,High,235.73
757,2018-01-03,20,Low,233.28999
757,2018-01-03,20,Close,235.63001
757,2018-01-03,20,AdjClose,210.78635
757,2018-01-03,20,Volume,2193700
758,2018-01-04,20,Open,237
758,2018-01-04,20,High,239.44
758,2018-01-04,20,Low,236.47
758,2018-01-04,20,Close,238.71001
758,2018-01-04,20,AdjClose,213.54161
758,2018-01-04,20,Volume,2243100
759,2018-01-05,20,Open,238.64999
759,2018-01-05,20,High,240.89999
759,2018-01-05,20,Low,237.74001
759,2018-01-05,20,Close,240.57001
759,2018-01-05,20,AdjClose,215.20548
759,2018-01-05,20,Volume,1835900
760,2018-01-08,20,Open,239.38001
760,2018-01-08,20,High,240.94
760,2018-01-08,20,Low,239.17999
760,2018-01-08,20,Close,239.78999
760,2018-01-08,20,AdjClose,214.50772
760,2018-01-08,20,Volume,1869000
761,2018-01-09,20,Open,239.60001
761,2018-01-09,20,High,241.78
761,2018-01-09,20,Low,239.34
761,2018-01-09,20,Close,241.28
761,2018-01-09,20,AdjClose,215.84061
761,2018-01-09,20,Volume,1695100
762,2018-01-10,20,Open,241
762,2018-01-10,20,High,242.57001
762,2018-01-10,20,Low,240.03
762,2018-01-10,20,Close,241.14
762,2018-01-10,20,AdjClose,215.71538
762,2018-01-10,20,Volume,1640900
763,2018-01-11,20,Open,240.74001
763,2018-01-11,20,High,242.34
763,2018-01-11,20,Low,239.75
763,2018-01-11,20,Close,242.31
763,2018-01-11,20,AdjClose,216.76201
763,2018-01-11,20,Volume,1487700
764,2018-01-12,20,Open,243.07001
764,2018-01-12,20,High,246
764,2018-01-12,20,Low,242.5
764,2018-01-12,20,Close,244.47
764,2018-01-12,20,AdjClose,218.69431
764,2018-01-12,20,Volume,1974300
765,2018-01-16,20,Open,245.3
765,2018-01-16,20,High,247.19
765,2018-01-16,20,Low,243.83
765,2018-01-16,20,Close,244.74001
765,2018-01-16,20,AdjClose,218.93584
765,2018-01-16,20,Volume,2411100
766,2018-01-17,20,Open,246.85001
766,2018-01-17,20,High,248.53
766,2018-01-17,20,Low,245.8
766,2018-01-17,20,Close,248.11
766,2018-01-17,20,AdjClose,221.9505
766,2018-01-17,20,Volume,2519000
767,2018-01-18,20,Open,248.13001
767,2018-01-18,20,High,249
767,2018-01-18,20,Low,244.92
767,2018-01-18,20,Close,245.91
767,2018-01-18,20,AdjClose,219.98247
767,2018-01-18,20,Volume,2233500
768,2018-01-19,20,Open,246.63001
768,2018-01-19,20,High,248.5
768,2018-01-19,20,Low,245.60001
768,2018-01-19,20,Close,248.17999
768,2018-01-19,20,AdjClose,222.01314
768,2018-01-19,20,Volume,2013500
